C,u,r,r,e,n,t, ,t,i,m,e,:, ,2,0,2,3,-,0,4,-,0,6, ,1,5,:,5,8,:,0,6
map name,time_cost | distance | timestamp | timestamp_local
path0_map0,"[0.5005793549166809, 145.56427001953125, 1628441543, '2021-08-08 18:52:23']"
path0_map1,"[0.5012527550361328, 145.58059692382812, 1628446944, '2021-08-08 20:22:24']"
