map name,time_cost | distance | timestamp | timestamp_local
path0_map3,"[0.07147568216916778, 138.40243530273438, 1628443562, '2021-08-08 19:26:02']"
path0_map5,"[0.32642415447439177, 145.60157775878906, 1628446155, '2021-08-08 20:09:15']"
path0_map17,"[0.9431551394515238, 145.61265563964844, 1630773976, '2021-09-04 18:46:16']"
path0_map16,"[0.052584223323807355, 145.61265563964844, 1630772717, '2021-09-04 18:25:17']"
path0_map22,"[0.8950069021874469, 144.622802734375, 1632578230, '2021-09-25 15:57:10']"
path0_map13,"[0.6208491876968376, 139.42051696777344, 1628456612, '2021-08-08 23:03:32']"
path0_map4,"[0.6888137483079644, 145.6076202392578, 1628445730, '2021-08-08 20:02:10']"
path0_map10,"[0.4806910026828294, 135.36532592773438, 1629061574, '2021-08-15 23:06:14']"
