Current time,2023-05-26 09:50:00
map name,time_cost | normalized distance | timestamp | timestamp_local
path0_map0,"[0.8571997129478695, 0.9996469689153458, 1628441543, '2021-08-08 18:52:23']"
path0_map1,"[0.9639121643344324, 0.9997590921746453, 1628446944, '2021-08-08 20:22:24']"
path0_map3,"[0.904541843520583, 0.9504638392533891, 1628443562, '2021-08-08 19:26:02']"
path0_map4,"[0.9456609727708125, 0.9999446718869999, 1628445730, '2021-08-08 20:02:10']"
path0_map5,"[0.9524531574321967, 0.9999031758022497, 1628446155, '2021-08-08 20:09:15']"
path0_map6,"[0.9753431997849731, 0.9997924147881567, 1628447864, '2021-08-08 20:37:44']"
path0_map8,"[0.9966719922415272, 0.9997438979011888, 1628450613, '2021-08-08 21:23:33']"
path0_map9,"[0.9988211733645813, 0.9999585039152499, 1628451256, '2021-08-08 21:34:16']"
path0_map12,"[0.9999996798806166, 1.0, 1628452216, '2021-08-08 21:50:16']"
path0_map13,"[0.9744889361778031, 0.957455405593316, 1628456612, '2021-08-08 23:03:32']"
