alphas,omegas,phis,time periods,time periods in hrs
[0.0317645  0.03117026],[0.00019739 0.00027011],[-0.01026386  0.41696749],[31831.57894737 23261.53846154],[8.84210526 6.46153846]
[0.03348038 0.03285639],[0.00027011 0.00019739],[-0.04093589 -0.33124321],[23261.53846154 31831.57894737],[6.46153846 8.84210526]
[0.03250717 0.03181026],[0.00025972 0.00027011],[-0.25582649 -0.45948093],[24192.         23261.53846154],[6.72       6.46153846]
[0.03161893 0.03091883],[0.00025972 0.00033244],[-0.35357935 -0.18127371],[24192. 18900.],[6.72 5.25]
[0.03302888 0.03242247],[0.00025972 0.00033244],[-0.51264103 -0.37077633],[24192. 18900.],[6.72 5.25]
[0.03014333 0.02972304],[0.00025972 0.00033244],[-0.72518154 -0.65649871],[24192. 18900.],[6.72 5.25]
[0.01508348 0.0149085 ],[0.00063372 0.00062333],[-0.38673858 -0.0166181 ],[ 9914.75409836 10080.        ],[2.75409836 2.8       ]
[0.02830989 0.02759238],[0.00055061 0.00061294],[0.24287652 0.21709493],[11411.32075472 10250.84745763],[3.16981132 2.84745763]
[0.03514786 0.0351298 ],[0.00055061 0.00061294],[0.05861988 0.0096673 ],[11411.32075472 10250.84745763],[3.16981132 2.84745763]
[0.03406929 0.03397394],[0.00055061 0.00048828],[-0.20211433 -0.09742824],[11411.32075472 12868.08510638],[3.16981132 3.57446809]
[0.03730556 0.03715278],[0.00019739 0.00025972],[0.35142227 0.19811189],[31831.57894737 24192.        ],[8.84210526 6.72      ]
[0.03996578 0.03898182],[0.00019739 0.00025972],[0.45146766 0.24584673],[31831.57894737 24192.        ],[8.84210526 6.72      ]
[0.03965706 0.0387089 ],[0.00019739 0.00025972],[0.37808577 0.15668161],[31831.57894737 24192.        ],[8.84210526 6.72      ]
[0.03961386 0.03862171],[0.00019739 0.00025972],[0.29649611 0.05031004],[31831.57894737 24192.        ],[8.84210526 6.72      ]
[0.03466875 0.03374475],[0.00020778 0.00014544],[-0.72392609 -0.73224912],[30240. 43200.],[ 8.4 12. ]
[0.03471827 0.03397871],[0.00020778 0.00014544],[-0.80241495 -0.78770807],[30240. 43200.],[ 8.4 12. ]
[0.03432482 0.03377664],[0.00020778 0.00014544],[-1.03439454 -0.93838682],[30240. 43200.],[ 8.4 12. ]
[0.03898389 0.03667432],[0.000187   0.00017661],[0.23956234 0.02118868],[33600.         35576.47058824],[9.33333333 9.88235294]
[0.04697235 0.04371797],[0.000187   0.00025972],[ 0.06288772 -0.07825102],[33600. 24192.],[9.33333333 6.72      ]
[0.03742789 0.03724356],[0.00014544 0.00019739],[0.32189523 0.31096511],[43200.         31831.57894737],[12.          8.84210526]
[0.0365651  0.03627916],[0.00019739 0.00014544],[0.26043161 0.30405954],[31831.57894737 43200.        ],[ 8.84210526 12.        ]
[0.03607199 0.03487844],[0.00019739 0.00014544],[0.08532589 0.15805695],[31831.57894737 43200.        ],[ 8.84210526 12.        ]
[0.04539326 0.04286811],[0.000187   0.00025972],[0.25798307 0.20457356],[33600. 24192.],[9.33333333 6.72      ]
[0.04603015 0.04283312],[0.000187   0.00025972],[0.17756508 0.07419736],[33600. 24192.],[9.33333333 6.72      ]
